country_id,name,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty
156,Slovakia,5459643,113.128,41.2,15.07,30155.152,0.7
157,Slovenia,2078932,102.619,44.5,19.062,31400.84,-1.1
158,Solomon Islands,-1,-1.1,-1.1,-1,-1.1,-1.1
159,Somalia,15893219,23.5,16.8,2.731,-1.1,-1.1
160,South Africa,59308690,46.754,27.3,5.344,12294.876,18.9
161,South Korea,51269183,527.967,43.4,13.914,35938.374,0.2
162,South Sudan,11193729,-1.1,19.2,3.441,1569.888,-1.1
163,Spain,46754783,93.105,45.5,19.436,34272.36,1
164,Sri Lanka,21413250,341.955,34.1,10.069,11669.077,0.7
165,St. Vincent & Grenadines,110947,281.787,31.8,7.724,10727.146,-1.1
166,State of Palestine,5101416,778.202,20.4,3.043,4449.898,1
167,Sudan,43849269,23.258,19.7,3.548,4466.507,-1.1
168,Suriname,586634,3.612,29.6,6.933,13767.119,-1.1
169,Sweden,10099270,24.718,41,19.985,46949.283,0.5
170,Switzerland,8654618,214.243,43.1,18.436,57410.166,-1.1
171,Syria,17500657,-1.1,21.7,-1,-1.1,-1.1
172,Tajikistan,9537642,64.281,23.3,3.466,2896.913,4.8
173,Tanzania,59734213,64.699,17.7,3.108,2683.304,49.1
174,Thailand,69799978,135.132,40.1,11.373,16277.671,0.1
175,Timor-Leste,1318442,87.176,18,3.556,6570.102,30.3
176,Togo,8278737,143.366,19.4,2.839,1429.813,49.2
177,Tonga,-1,-1.1,-1.1,-1,-1.1,-1.1
178,Trinidad and Tobago,1399491,266.886,36.2,10.014,28763.071,-1.1
179,Tunisia,11818618,74.228,32.7,8.001,10849.297,2
180,Turkey,84339067,104.914,31.6,8.153,25129.341,0.2
181,Turkmenistan,-1,-1.1,-1.1,-1,-1.1,-1.1
182,Tuvalu,-1,-1.1,-1.1,-1,-1.1,-1.1
183,Uganda,45741000,213.759,16.4,2.168,1697.707,41.6
184,Ukraine,43733759,77.39,41.4,16.462,7894.393,0.1
185,United Arab Emirates,9890400,112.442,34,1.144,67293.483,-1.1
186,United Kingdom,67886004,272.898,40.8,18.517,39753.244,0.2
187,United States,331002647,35.608,38.3,15.413,54225.446,1.2
188,Uruguay,3473727,19.751,35.6,14.655,20551.409,0.1
189,Uzbekistan,33469199,76.134,28.2,4.469,6253.104,-1.1
190,Vanuatu,-1,-1.1,-1.1,-1,-1.1,-1.1
191,Venezuela,28435943,36.253,29,6.614,16745.022,-1.1
192,Vietnam,97338583,308.127,32.6,7.15,6171.884,2
193,Yemen,29825968,53.508,20.3,2.922,1479.147,18.8
194,Zambia,18383956,22.995,17.7,2.48,3689.251,57.5
195,Zimbabwe,14862927,42.729,19.6,2.822,1899.775,21.4
